track_name,artist_name,artist_popularity,artist_genres,artist_followers,track_popularity,track_acousticness,track_danceability,track_duration_ms,track_energy,track_instrumentalness,track_loudness,track_tempo,track_valence
As It Was,Harry Styles,94,pop,21002505,100,0.342,0.52,167303,0.731,0.00101,-5.338,173.93,0.662
First Class,Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,94,0.0254,0.905,173948,0.563,9.71E-06,-6.135,106.998,0.324
N95,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,90,0.377,0.79,195950,0.67,2.32E-06,-5.527,139.956,0.408
Moscow Mule,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,95,0.294,0.804,245940,0.674,1.18E-06,-5.453,99.968,0.292
About Damn Time,Lizzo,79,"dance pop, escape room, minnesota hip hop, pop, trap queen",4651200,92,0.0995,0.836,191822,0.743,0,-6.305,108.966,0.722
Die Hard,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,88,0.319,0.775,239027,0.736,0.00116,-8.072,100.988,0.362
Tití Me Preguntó,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,94,0.0993,0.65,243717,0.715,0.000291,-5.198,106.672,0.187
Me Porto Bonito,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,95,0.0901,0.911,178567,0.712,2.68E-05,-5.105,92.005,0.425
United In Grief,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,86,0.244,0.529,255378,0.845,0,-8.142,85.63,0.331
Después de la Playa,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,91,0.356,0.564,230400,0.903,0,-3.221,78.293,0.607
Father Time (feat. Sampha),Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,85,0.181,0.514,222497,0.779,0,-4.365,152.869,0.517
Silent Hill,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,85,0.438,0.907,220779,0.577,3.19E-05,-6.737,140.07,0.801
